First_Name	CNIC	RollNo	cgpa	program	Phone
Annmarie	11448-1358215-7	5023	1.6	BS	0092-301-643208
Shonda	36059-3559186-7	5026	4	BS	0092-337-960105
Cecil	11970-1402720-8	5029	1.9	BS	0092-334-631917
Jeanice	22100-2747462-6	5038	2.8	MS	0092-312-530565
Josphine	21427-1914904-3	5047	1.8	BS	0092-303-523084
Daniel	21319-3228900-0	5056	3	BS	0092-305-858556
Cassi	11699-2521828-0	5060	1.7	MS	0092-316-496703
Britt	14301-2157370-1	5061	1.6	BS	0092-341-789256
Adell	37609-6516900-7	5063	2.5	MS	0092-327-672043
Jacqueline	31805-1979258-6	5070	2.3	BS	0092-303-575234
